adsh,fraud,AccountsReceivable,Cash,CashFlowfromOps,CurrentLiabilities,Depreciation,Expenses,IntangibleAssets,OtherCurrentAssets,OtherIncome,OtherLiabilities,PPE,Sales,ShareholdersEquity,sum_of_first_digits,total_deviation
0000017843-18-000003,0.0,590600000.0,29400000.0,-8100000.0,1092600000.0,175800000.0,2439000000.0,653300000.0,11824800000.0,94600000.0,7880100000.0,2887300000.0,2719500000.0,17547500011.08,588,0.004969939873
0000018172-18-000007,0.0,154314000.0,25487000.0,-40474000.0,282781000.0,9387000.0,421218000.0,39164000.0,2032405000.0,24742000.0,1486042000.01,380919000.0,164942000.0,1069855000.01,480,0.01575503944
0000018230-18-000042,0.0,125362000000.0,26128000000.0,18037000000.0,18407000000.0,53412000000.0,292232000000.0,73401000000.0,419738000000.08,21928000000.0,372347000000.0,135695000000.0,430018000000.0,350718000011.19995,1656,0.004041757916
0000018255-18-000024,0.0,172421000.0,257712000.0,202187000.0,534501000.0,673481000.0,6904497000.0,835000.0,2621266000.0,337065000.0,324492000.0,1961354000.0,7414948000.0,3040773103.81,778,0.01025356296
0000018349-18-000005,0.0,343237619000.0,-967679998.5,1548249000.0,17341000.0,1325929000.0,16336195468.760004,199467000.0,86483541000.0,10498129000.0,159108162000.0,2898618000.0,45413000.0,164232055002.0,2046,0.004358165809
0000018926-18-000012,0.0,11761000000.0,-2794000000.0,13639000000.0,16893000000.0,78826000000.0,81248000000.0,244061000000.0,186543000000.0,11595000000.0,139939000000.0,152787000000.0,88152000000.0,357945000056.3201,1142,0.002859492208
0000019446-18-000015,0.0,232626000.0,102678000.0,98752000.0,171743000.0,15338000.0,1909705122.31,2237460000.0,2764373395.52,122239000.0,1118673000.0,367446000.0,2444637000.0,4488698002.44,570,0.01032113981
0000019612-18-000037,0.0,74030239000.0,-214505000.0,658636000.0,218457000.0,304802000.0,10668151000.0,3498699000.0,87931727024.49,6739864000.0,84179643000.0,913775000.0,1915147000.0,88946904008.04,2002,0.002113245973
0000019617-18-000057,0.0,9043605000000.0,1168446000005.72,44137000000.0,1346824000000.0,16597000000.0,4552907000000.0,298729000000.0,25868207000100.0,597704000000.0,9335230000000.0,70888000000.0,862180000000.0,7722182010009.72,2124,0.006733099306
0000020212-18-000010,0.0,275000000.0,149600003.99,733600000.0,4908800000.0,3208600000.0,4532700000.0,1715400000.0,8993800000.0,3786100000.0,16747200000.0,4939700000.0,7689100000.0,14552200000.0,1302,0.005679124324
0000020286-18-000012,0.0,3740000000.0,997000000.0,3242000000.0,2388000000.0,739000000.0,169948000288.05,0.0,105389000000.0,186000000.0,43147000000.0,92895000000.0,41648000000.0,97515000010.72,1470,0.0061299811369999995
0000020520-18-000007,0.0,4284000000.0,8249000000.0,4841000000.0,9796000000.0,32149000000.0,47632000000.0,60763000000.0,76221000000.0,14445000000.0,110949000000.0,91665000000.0,42217000000.0,76296000000.52,1126,0.005782824429
0000020629-18-000014,0.0,409254000.0,194257000.0,-107590000.0,225993000.0,328928000.0,563691000.0,519357000.0,3084304000.0,80325000.0,306576000.0,744841000.0,1773672000.0,3880762001.93,596,0.004105316039
0000020639-18-000018,0.0,0.0,989000.0,-7146000.0,442455000.0,9018000.0,69314000.0,0.0,765929000.0,3387000.0,3065000.0,13379000.0,978000.0,2069394000.04,348,0.028345946580000003
0000021076-18-000004,0.0,1013000000.0,2509000000.0,1184000000.0,1544000000.0,4195000000.0,5992000000.0,3840000000.0,15282000000.0,699000000.0,17227000000.0,3264000000.0,8587000000.0,23873000008.92,524,0.011879544099999998
0000021175-18-000019,0.0,10263000000.0,696000000.0,5860000000.0,993000000.0,777000000.0,519500000000.0,627000000.0,323379000229.98004,1607000000.0,140774000000.0,16900000000.0,102783000000.0,179982000014.1,1482,0.00490221561
0000021344-18-000008,0.0,8847000000.0,76744000004.2,26430000000.0,73690000000.0,28325000000.0,82502300247.08,92897000000.0,609648000012.53,155452000000.0,367531000000.0,122492000000.0,262734000000.0,664299000000.5,1396,0.0030787514130000003
0000021510-18-000007,0.0,650509000.0,2800798000.0,146340000.0,1063845000.0,21550000.0,1502491000.0,2617214000.0,10040609000.0,746959000.0,2969742000.0,756585000.0,1443845000.0,10834788000.02,720,0.008707916654000001
0000021665-18-000003,0.0,3148000000.0,3860000000.0,9144000000.0,12067000000.0,9801000000.0,15767000382.0,12341000000.0,93527000362.72,24602000000.0,96453000000.0,60235000000.0,142896000000.0,130762000002.0,1190,0.0014984752170000002
0000021665-18-000006,0.0,3148000000.0,3860000000.0,9144000000.0,12067000000.0,9801000000.0,15767000382.0,12341000000.0,93527000362.72,24602000000.0,96453000000.0,60235000000.0,142896000000.0,130762000002.0,1190,0.0014984752170000002
0000022356-18-000015,0.0,144277854000.0,2378913006.9500003,1642785000.0,297648000.0,1278761000.0,9043889231.05,745602000.0,173324520220.06,3982288000.0,86520154000.0,2687506000.0,1646987000.0,153021114070.6,2222,0.0016938704680000002
0000022444-18-000008,0.0,1939915000.0,1117509000.2399998,-34822000.0,1069227000.0,3175893000.0,4163941000.0,351544000.0,11225019000.0,2784000.0,4592912000.0,12511642000.0,2313682000.0,23076273000.02,516,0.01692963427
0000022444-18-000016,0.0,1660302000.0,1079065000.72,60770000.0,947634000.0,3236843000.0,10820406000.0,354166000.0,11659426000.0,7956000.0,4742475000.0,13165896000.0,5762593000.0,23382239000.02,710,0.02084267656
0000023082-10-000036,1.0,15347000000.0,5755000000.0,4951000000.0,3623000000.0,46000000.0,86833000000.0,23334000000.0,52920000000.0,5284000000.0,23260000000.0,33278000000.0,52002000000.0,84922000000.0,512,0.010378283620000001
0000023082-10-000054,1.0,8164000000.0,8334000000.0,-357000000.0,4204000000.0,8878000000.0,17399000378.949997,32986000000.0,54738000221.710014,14000000.0,20792000000.0,5176000000.0,10128000000.0,83856000002.15,606,0.013734308130000001
0000023082-10-000072,1.0,8365000000.0,9575000000.0,617000000.0,4185000000.0,11443000000.0,46066000377.77,34788000000.0,56485000448.89,95000000.0,21560000000.0,6843000000.0,26237000000.0,93189000002.45,800,0.009534319498
0000023082-11-000014,1.0,8303000000.0,7130000000.0,1211000000.0,3531000000.0,12931000000.0,60677000376.62,15066000000.0,54658000448.71,441000000.0,20966000000.0,7816000000.0,34052000000.0,93840000002.7,814,0.005447468792
0000023082-11-000059,1.0,8096000000.0,6260000000.7,5209000000.0,3426000000.0,20030000000.0,93455000043.92,55314000000.0,94457000000.0,2074000000.0,37419000000.0,37080000000.0,153817000000.0,93270000004.0,1214,0.005596486310000001
0000023082-12-000039,1.0,7610000000.0,4251000000.0,4400000000.0,4130000000.0,16558000000.0,98131000038.27,62265000000.0,88684000000.0,617000000.0,32220000000.0,37328000000.0,129992000000.0,66317000005.5,1334,0.005671492609
0000023082-12-000050,1.0,7129000000.0,4711000000.0,175000000.0,4548000000.0,8837000000.0,16237000000.0,59823000000.0,12904000000.0,303000000.0,18552000000.0,5747000000.0,25262000000.0,56660000002.4,594,0.01134035219
0000023197-18-000007,0.0,461432000.0,240127000.1,34846000.0,243394000.0,96569000.0,447458000.0,2152034000.0,3576717001.0,101074000.0,1414380000.0,271276000.0,1297912000.0,9334101015.2,702,0.01092657281
0000023217-18-000003,0.0,1412700000.0,3493800000.425,1953500000.0,2834000000.0,5806700000.0,9828800000.0,17880700000.0,44450300000.0,520800000.0,26722600000.0,14368900000.0,12223400000.0,71457800011.3875,932,0.007993238743
0000024090-18-000011,0.0,87644000.0,2525178000.0,282436000.0,553894000.0,34657000.0,12026999000.0,170304000.0,11752003000.0,93614000.0,7604577000.0,411165000.0,1232334000.0,5557543000.0,1340,0.004311255126
0000024491-18-000003,0.0,947139000.0,1258102001.2600002,793878000.0,1991273000.0,3333377000.0,8666341221.77,1806903000.0,37304612000.0,-32791000.0,4091268000.0,12513378000.0,14584888000.0,23438048004.0,1392,0.002596762362
0000024545-18-000009,0.0,126115500000.0,-10478400000.0,13062100000.0,43909300000.0,6375300000.0,41921200000.0,184053600000.0,333976700000.0,58060900000.0,310023700000.0,57672800000.0,212472100000.0,627043800004.9401,2828,0.004587937193
0000024741-18-000010,0.0,3895000000.0,28686000000.0,7370000000.0,18077000000.0,24037000000.0,10815974145.07,41680000000.0,266971000114.53,5919000000.0,43656000000.0,79079000000.0,65309000000.0,318503000237.52,1284,0.005735040306000001
0000025232-18-000007,0.0,5221566000.0,1876158000.86,487916000.0,2896586000.0,12190146000.0,2359655172.09,1118795000.0,13231510000.0,3326149000.0,9169111000.0,15354399000.0,3900284000.0,38890971004.86,1078,0.006263805881
0000025475-18-000081,0.0,409269000.0,191591000.0,201276000.0,853219000.0,364627000.0,6821450000.0,2964812000.0,8344927000.0,323101000.0,2773222000.0,1454056000.0,9923308000.0,4195770000.0,1138,0.004256665833
0000025598-18-000005,0.0,73358000000.0,550000000.0,1519000000.0,1192000000.0,655000000.0,25209000000.0,349000000.0,55855000024.78,8289000000.0,61604000000.0,289000000.0,810000000.0,41229000001.0,1338,0.004210383889
