adsh,AccountsReceivable,Cash,CashFlowfromOps,OtherIncome,sum_of_first_digits,total_deviation,CurrentRatio,DebtToEquityRatio,ProfitMargin,ReceivableTurnover,AQI,DEPI,TATA,fraud
0000020520-18-000007,-0.03793948403074042,-0.46744363244107057,0.47615544617391886,-0.031863136265797495,0.2927296520564509,-0.2972830721629859,-0.013284618909348194,-0.013332375409276594,0.02715550994359801,-0.033741478242329065,0.3935636837120881,0.12642607668464703,-0.027682710775148847,0.0
0000020629-18-000014,-0.04886083128772509,-0.04705981122897559,-0.22528444352909308,-0.06569003889986053,-0.5674193782473379,-0.35786385593561043,-0.013284565048738265,-0.0133323860510775,0.02755009059598385,-0.03313418911590677,0.025420807808144142,0.24342571096094331,0.029496405763889115,0.0
0000020639-18-000018,-0.0496286856461653,-0.05151027946146028,-0.19266026803106795,-0.06671401491108285,-0.9699042075215637,0.5175513766024503,-0.013284630883813466,-0.013332384844098212,0.0257193454039228,-0.03738491665790342,-0.2253442359924914,0.052839538899845426,-0.022226802503918106,0.0
0000021076-18-000004,-0.04988465356475125,-0.03745609311130079,0.023633884668204066,-0.0628094694249337,-0.6842698125527583,-0.07710887910803675,-0.013284642307935647,-0.013332388356703414,0.027389914156626255,-0.09831112930227634,-0.2253442359924914,-0.11713128999046218,0.0470810383878816,0.0
0000021175-18-000019,-0.02590899185720095,-0.06001563281538607,0.598049458340071,-0.05338143587069824,0.8704901327888073,-0.3290849831221944,-0.013283982947584554,-0.013332379161729519,0.025043745739393466,-0.03268940207116111,-0.22052904968761633,-0.2088809857654374,-0.13821164984400497,0.0
0000021344-18-000008,-0.03009429185934309,1.7340781019511544,3.3123821344843845,0.7297388404517061,0.7309187807017773,-0.3949367492856884,-0.013284617070342059,-0.013332381531528405,0.027553629114191115,-0.02043751999142634,0.08498036992866392,0.08836053117827045,-0.005596554242336674,0.0
0000021510-18-000007,-0.0496485209145231,-0.016901142566492344,-0.1590645255537185,-0.05408336653432698,-0.36617696361022506,-0.1916476066988102,-0.013284544713708426,-0.013332378406812374,0.027504848517209666,-0.14068012993170056,-0.1871237602660673,-0.13881348168822377,0.01123005290488384,0.0
0000021665-18-000003,-0.04288819712340205,-0.0020118463617960587,1.0597329880804964,0.07242176725677112,0.3965967047723801,-0.4520061333207223,-0.013284621245347511,-0.013332379643890361,0.02762579392196546,-0.015535435011392209,0.017007460909178193,-0.03681592482796852,0.03391348296737244,0.0
0000021665-18-000006,-0.04288819712340205,-0.0020118463617960587,1.0597329880804964,0.07242176725677112,0.3965967047723801,-0.4520061333207223,-0.013284621245347511,-0.013332379643890361,0.02762579392196546,-0.015535435011392209,0.017007460909178193,-0.03681592482796852,0.03391348296737244,0.0
0000022356-18-000015,0.2608518763159651,-0.014474115749414167,0.0483253890607496,-0.040572299218417394,2.071452929816739,-0.44494971707768427,-0.013282623053430139,-0.013332381308305809,0.02617421475648116,-0.037375473683573864,-0.21888488866806805,0.27613024655198026,-0.024188165465408112,0.0
0000023082-10-000036,-0.0496286856461653,-0.003955854793210221,-0.19147319562500542,-0.06670955524772897,-0.703744884936995,-0.13132472510166915,-0.01328463456703542,-0.01333238692193407,0.027268717634155306,-0.03738491665790342,-0.2253442359924914,-0.3059054582793783,-0.022113978226579498,1.0
0000023082-10-000036,-0.0496286856461653,-0.003955854793210221,-0.19147319562500542,-0.06670955524772897,-0.703744884936995,-0.13132472510166915,-0.01328463456703542,-0.01333238692193407,0.027268717634155306,-0.03738491665790342,-0.2253442359924914,-0.3059054582793783,-0.022113978226579498,1.0
0000023082-10-000036,-0.0496286856461653,-0.003955854793210221,-0.19147319562500542,-0.06670955524772897,-0.703744884936995,-0.13132472510166915,-0.01328463456703542,-0.01333238692193407,0.027268717634155306,-0.03738491665790342,-0.2253442359924914,-0.3059054582793783,-0.022113978226579498,1.0
0000023082-10-000036,-0.0496286856461653,-0.003955854793210221,-0.19147319562500542,-0.06670955524772897,-0.703744884936995,-0.13132472510166915,-0.01328463456703542,-0.01333238692193407,0.027268717634155306,-0.03738491665790342,-0.2253442359924914,-0.3059054582793783,-0.022113978226579498,1.0
0000023082-10-000036,-0.05060316000288724,-0.08564941841101004,0.33912426909824467,-0.0046642768755210656,-0.703744884936995,-0.13132472510166915,-0.013284749723582059,-0.01333238518351287,0.02696772118390637,-0.09977098030818875,0.5825509516932594,0.7393887979333327,-1.4276511418411175,1.0
0000023082-10-000036,-0.05060316000288724,-0.08564941841101004,0.33912426909824467,-0.0046642768755210656,-0.703744884936995,-0.13132472510166915,-0.013284749723582059,-0.01333238518351287,0.02696772118390637,-0.09977098030818875,0.5825509516932594,0.7393887979333327,-1.4276511418411175,1.0
0000023082-10-000036,-0.05060316000288724,-0.08564941841101004,0.33912426909824467,-0.0046642768755210656,-0.703744884936995,-0.13132472510166915,-0.013284749723582059,-0.01333238518351287,0.02696772118390637,-0.09977098030818875,0.5825509516932594,0.7393887979333327,-1.4276511418411175,1.0
0000023082-10-000036,-0.05060316000288724,-0.08564941841101004,0.33912426909824467,-0.0046642768755210656,-0.703744884936995,-0.13132472510166915,-0.013284749723582059,-0.01333238518351287,0.02696772118390637,-0.09977098030818875,0.5825509516932594,0.7393887979333327,-1.4276511418411175,1.0
0000023082-10-000036,-0.014619459447989211,0.07787333731980453,0.5992444976750332,-0.04112160087121578,-0.703744884936995,-0.13132472510166915,-0.013284582968472675,-0.013332383338103248,0.027010174577765497,-0.0355118973321361,0.2726443815294103,-0.4251460309523249,-0.04740104877080577,1.0
0000023082-10-000036,-0.014619459447989211,0.07787333731980453,0.5992444976750332,-0.04112160087121578,-0.703744884936995,-0.13132472510166915,-0.013284582968472675,-0.013332383338103248,0.027010174577765497,-0.0355118973321361,0.2726443815294103,-0.4251460309523249,-0.04740104877080577,1.0
0000023082-10-000036,-0.014619459447989211,0.07787333731980453,0.5992444976750332,-0.04112160087121578,-0.703744884936995,-0.13132472510166915,-0.013284582968472675,-0.013332383338103248,0.027010174577765497,-0.0355118973321361,0.2726443815294103,-0.4251460309523249,-0.04740104877080577,1.0
0000023082-10-000036,-0.014619459447989211,0.07787333731980453,0.5992444976750332,-0.04112160087121578,-0.703744884936995,-0.13132472510166915,-0.013284582968472675,-0.013332383338103248,0.027010174577765497,-0.0355118973321361,0.2726443815294103,-0.4251460309523249,-0.04740104877080577,1.0
0000023082-10-000036,-0.01474519807466301,0.06620928673131955,0.45942489548444704,-0.06474255544144962,-0.703744884936995,-0.13132472510166915,-0.013284593281103572,-0.01333238376094959,0.027021154445151765,-0.03554370591257384,0.2709147501534534,-0.49497515534514647,-0.044637856691666956,1.0
0000023082-10-000036,-0.01474519807466301,0.06620928673131955,0.45942489548444704,-0.06474255544144962,-0.703744884936995,-0.13132472510166915,-0.013284593281103572,-0.01333238376094959,0.027021154445151765,-0.03554370591257384,0.2709147501534534,-0.49497515534514647,-0.044637856691666956,1.0
0000023082-10-000036,-0.01474519807466301,0.06620928673131955,0.45942489548444704,-0.06474255544144962,-0.703744884936995,-0.13132472510166915,-0.013284593281103572,-0.01333238376094959,0.027021154445151765,-0.03554370591257384,0.2709147501534534,-0.49497515534514647,-0.044637856691666956,1.0
0000023082-10-000036,-0.01474519807466301,0.06620928673131955,0.45942489548444704,-0.06474255544144962,-0.703744884936995,-0.13132472510166915,-0.013284593281103572,-0.01333238376094959,0.027021154445151765,-0.03554370591257384,0.2709147501534534,-0.49497515534514647,-0.044637856691666956,1.0
0000023082-10-000054,-0.0496286856461653,0.0524203897178005,-0.19147319562500542,-0.06670955524772897,-0.551190151260474,-0.010126764848285319,-0.01328463456703542,-0.01333238692193407,0.027268717634155306,-0.03738491665790342,-0.2253442359924914,-0.3059054582793783,-0.022113978226579498,1.0
0000023082-10-000054,-0.0496286856461653,0.0524203897178005,-0.19147319562500542,-0.06670955524772897,-0.551190151260474,-0.010126764848285319,-0.01328463456703542,-0.01333238692193407,0.027268717634155306,-0.03738491665790342,-0.2253442359924914,-0.3059054582793783,-0.022113978226579498,1.0
0000023082-10-000054,-0.0496286856461653,0.0524203897178005,-0.19147319562500542,-0.06670955524772897,-0.551190151260474,-0.010126764848285319,-0.01328463456703542,-0.01333238692193407,0.027268717634155306,-0.03738491665790342,-0.2253442359924914,-0.3059054582793783,-0.022113978226579498,1.0
0000023082-10-000054,-0.0496286856461653,0.0524203897178005,-0.19147319562500542,-0.06670955524772897,-0.551190151260474,-0.010126764848285319,-0.01328463456703542,-0.01333238692193407,0.027268717634155306,-0.03738491665790342,-0.2253442359924914,-0.3059054582793783,-0.022113978226579498,1.0
