,Unnamed: 0,adsh,fraud,AccountsReceivable,Cash,CashFlowfromOps,CurrentLiabilities,Depreciation,Expenses,IntangibleAssets,OtherCurrentAssets,OtherIncome,OtherLiabilities,PPE,Sales,ShareholdersEquity,sum_of_first_digits,total_deviation,TotalCurrentAssets,CurrentRatio,TotalLiabilities,DebtToEquityRatio,NetIncome,ProfitMargin,ReceivableTurnover,CollectionRatio,DSRI,TotalAssets,AQI,DEPI,TATA
4736,4736,0001564590-18-003538,0.0,467126000.0,522701000.0,340249000.0,375556000.0,110214000.0,4390296038.12,450998000.0,2081265000.0,69909000.0,406849000.0,275438000.0,3453253000.0,3506318000.0,914,0.004442336632,3071092000.0,8.17745422786482,782405000.0,0.2231414834592869,-937043038.12,-0.2713508214196874,7.392551474334548,49.37402211769598,0.13527129347313968,3797528000.0,0.11876094132814817,0.28578614917075496,-0.3363482871278368
4737,4737,0001564590-18-003544,0.0,18731000.0,935373000.0,-163246000.0,126472000.0,11801000.0,1088811131.64,2477000.0,1337145030.24,286960000.0,287209000.0,134977000.0,148157000.0,1122348000.004,786,0.006887166318,2291249030.24,18.11665056486811,413681000.0,0.3685853229110095,-940654131.64,-6.349036033666988,7.909721851476163,46.1457440417935,0.1264266960049137,2428703030.24,0.001019885909952167,0.08040033247489406,-0.32009188524097903
4738,4738,0001564590-18-003547,0.0,6890000000.0,487000000.0,841600000.0,5344100000.0,378700000.0,69905000166.98,1520400000.0,48998900000.0,5725000000.0,22525600000.0,31397700000.0,14696900000.0,37706100005.67,1858,0.002693089275,56375900000.0,10.549185082614473,27869700000.0,0.7391297428216956,-55208100166.98,-3.7564452481121866,2.1330769230769233,171.1143166245943,0.4688063469166967,89294000000.0,0.01702689990368889,0.0119176495764152,-0.6276983914594485
4739,4739,0001564590-18-003549,0.0,3284800000.0,-5554200000.0,4353100000.0,9492500000.0,9788900000.0,35011900861.31,117477800000.0,96306800599.19998,14080200000.0,88428100000.0,22976700000.0,44531600000.0,168871900002.82,1366,0.002086947414,94037400599.19998,9.906494664124306,97920600000.0,0.5798513547746239,9519699138.690002,0.21377401976776048,13.556867998051635,26.92362277573678,0.07376335007051173,234491900599.2,0.5009887322325741,0.2987554020069829,0.02203316671274244
4740,4740,0001564590-18-003554,0.0,146893000.0,-1153633000.0,280603000.0,903169000.0,1175031000.0,9479734160.75,4978640000.0,7689010000.0,2335505000.0,14774291000.0,5767209000.0,23053339000.0,9809714000.0,1186,0.009763658784,6682270000.0,7.398692824930882,15677460000.0,1.5981566842825388,13573604839.25,0.5887912739777088,156.9396703723118,2.3257344630207366,0.006371875241152703,17428119000.0,0.28566708776776195,0.1692581933208878,0.7627330200838083
4741,4741,0001564590-18-003566,0.0,661969000.0,-1608559000.0,1936722000.0,1050678000.0,14944666000.0,33010133000.0,9963228000.0,36686122000.0,7493015000.0,44955939000.0,340818916000.0,9266069000.0,60904910002.66,1598,0.0037984640610000003,35739532000.0,34.015685109995644,46006617000.0,0.7553843688134614,-23744064000.0,-2.5624743351252834,13.997738564796839,26.075640597970942,0.07144011122731765,386521676000.0,0.025776634581290647,0.04200729573270375,-0.06644073953565284
4742,4742,0001564590-18-003592,0.0,476164.0,-36810778.0,16918233954.0,-244588.0,-28827967.0,1172491104.0,0.0,5458901905.24,2284644293.0,1082554.0,0.0,0.0,7627988063.0,364,0.04805573703,5422567291.24,-22170.2098681865,837966.0,0.00010985413100796563,-1172491104.0,0.0,0.0,0.0,0.0,5422567291.24,0.0,1.0,-3.3361918970051403
4743,4743,0001564590-18-003593,0.0,1334681.0,-24609093.0,1362904087.0,27356.0,28076097.0,353396588.0,0.0,1530860417.67,1406887727.0,237242.0,0.0,0.0,2536261655.0,370,0.02273888332,1507586005.67,55109.88469330312,264598.0,0.0001043259868233114,-353396588.0,0.0,0.0,0.0,0.0,1507586005.67,0.0,1.0,-1.1384429601661388
4744,4744,0001564590-18-003594,0.0,3153747.0,37537054.0,9927854382.0,548674.0,101183146.0,648594722.0,0.0,3312400471.46,1874676490.0,1004294.0,0.0,0.0,5433108175.0,362,0.033635826460000004,3353091272.46,6111.263286505285,1552968.0,0.00028583417630921734,-648594722.0,0.0,0.0,0.0,0.0,3353091272.46,0.0,1.0,-3.154238356369158
4745,4745,0001564590-18-003596,0.0,71428608.0,-475271201.0,53442430559.0,-1452440.0,238569046.0,4425689124.0,0.0,19318915852.21,7321344368.0,-9293454.0,0.0,0.0,25659920042.0,378,0.03000187625,18915073259.21,-13022.963605525872,-10745894.0,-0.00041878127376902136,-4425689124.0,0.0,0.0,0.0,0.0,18915073259.21,0.0,1.0,-3.0593653479413963
4746,4746,0001564590-18-003600,0.0,1555812.0,885483.0,3638415193.0,1018380.0,-15287502.0,296277432.0,0.0,1156670685.48,701778981.0,1209653.0,0.0,0.0,2052451229.9953,364,0.0268807679,1159111980.48,1138.192011312084,2228033.0,0.0010855473530570088,-296277432.0,0.0,0.0,0.0,0.0,1159111980.48,0.0,1.0,-3.3945750637230097
4747,4747,0001564590-18-003606,0.0,1941.0,4006541.0,1696548001.0,457489.0,-2365040.0,84753686.0,0.0,359276078.28,287556753.0,514987.0,0.0,0.0,1025591896.9992,378,0.01810799791,363284560.28,794.08370535685,972476.0,0.0009482095196397194,-84753686.0,0.0,0.0,0.0,0.0,363284560.28,0.0,1.0,-4.903323404735587
4748,4748,0001564590-18-003607,0.0,4261800.0,677349.0,684638470.0,2876621.0,-1904375.0,10807294.0,0.0,159183655.2,153502890.0,2912011.0,0.0,0.0,469281485.9953,346,0.015176024909999999,164122804.2,57.05402421799743,5788632.0,0.012335095614784118,-10807294.0,0.0,0.0,0.0,0.0,164122804.2,0.0,1.0,-4.237349997703731
4749,4749,0001564590-18-003611,0.0,1513672000.0,417686000.0,69695000.0,2131687000.0,34143000.0,959911000.0,9281000.0,2856967173.3900003,262186000.0,1886315000.0,207263000.0,624979000.0,2783220000.0,650,0.01229582882,4788325173.39,2.2462609066856443,4018002000.0,1.443652316381745,-334932000.0,-0.53590920654934,0.41288931816139823,884.0141508754696,2.4219565777410117,5004869173.39,0.0018543941266927488,0.14143393287656478,-0.08084666871040902
4750,4750,0001564590-18-003614,0.0,1319821.0,-777958.0,4074010749.0,1067690.0,-34512547.0,333178244.0,0.0,1322065065.4099998,746176483.0,1286681.0,0.0,0.0,2577109447.0020003,368,0.03329668247,1322606928.4099998,1238.755564264908,2354371.0,0.0009135704355664381,-333178244.0,0.0,0.0,0.0,0.0,1322606928.4099998,0.0,1.0,-3.3321986285813554
4751,4751,0001564590-18-003615,0.0,17523.0,4850927.0,4382674617.0,60279.0,54167774.0,617770369.0,0.0,2352175850.2,1045002943.0,-4281442.0,0.0,0.0,3664323395.0,352,0.04491978086,2357044300.2,39102.246225053495,-4221163.0,-0.0011519624620904946,-617770369.0,0.0,0.0,0.0,0.0,2357044300.2,0.0,1.0,-2.1214896069521063
4752,4752,0001564590-18-003616,0.0,22709.0,107193307.0,20246004221.0,11892747.0,2559984.0,1472093848.0,0.0,5563681729.059999,4449010375.0,12532063.0,0.0,0.0,15151619485.003,374,0.02899833648,5670897745.059999,476.8366589367452,24424810.0,0.0016120263595700483,-1472093848.0,0.0,0.0,0.0,0.0,5670897745.059999,0.0,1.0,-3.8297460200052007
4753,4753,0001564590-18-003618,0.0,337521.0,5015984.0,894484783.0,-12745.0,-349718.0,73186435.0,0.0,294976708.09000003,163248177.0,57499.0,0.0,0.0,521168703.004,362,0.05780207748,300330213.09000003,-23564.551831306402,44754.0,8.587238593192445e-05,-73186435.0,0.0,0.0,0.0,0.0,300330213.09000003,0.0,1.0,-3.222024211430296
4754,4754,0001564590-18-003622,0.0,79643000.0,-192525000.0,759143000.0,935825000.0,3539010000.0,6754144111.33,1646577000.0,6839563000.0,1541755000.0,13687215000.0,10893775000.0,11047005000.0,7872482001.610002,936,0.005605012556000001,6726681000.0,7.187968904442603,14623040000.0,1.85748789225678,4292860888.67,0.3885995243661065,138.70654043669876,2.631454860389762,0.007209465370930855,19267033000.0,0.08546084910946072,0.2452063132652499,0.18340747579920585
4755,4755,0001564590-18-003637,0.0,138137528656.0,3216439000.0,1035894000.0,108549000.0,351583000.0,7096883208.92,5921372000.0,105548400000.0,7001270000.0,88209405000.0,1302744000.0,11811000.0,70075976004.0,1310,0.007843424659999999,246902367656.0,2274.570633133424,88317954000.0,1.2603171448508792,-7085072208.92,-599.8706467631869,8.5501746809244e-05,4268918.631736517,11695.667484209634,254126483656.0,0.02330088511363304,0.2125232798594232,-0.031956394674366166
4756,4756,0001564590-18-003648,0.0,1216756000.0,82665000.0,273451000.0,709255000.0,294289000.0,3672997124.19,2922637000.0,3317626000.0,1391694000.0,5369615000.0,1442326000.0,6052851000.0,6675093047.344,1080,0.008374232104,4617047000.0,6.509713713685487,6078870000.0,0.9106794402542095,2379853875.81,0.3931789954535474,4.974580770507808,73.37301711210141,0.20102196469068875,8982010000.0,0.3253878586196185,0.16946127955822102,0.23451353046923795
4757,4757,0001564590-18-003661,0.0,927166000.0,2953678000.0,843830000.0,2529607000.0,682586000.0,5073346151.940001,19852219000.0,12560219035.61,3077532000.0,22724088000.0,1875378000.0,16264097000.0,14011556000.000198,1216,0.003954331927,16441063035.61,6.499453486494148,25253695000.0,1.8023476478986091,11190750848.06,0.6880646892391259,17.541731469877025,20.807524082031726,0.05700691529323761,38168660035.61,0.5201183112396031,0.2668473833095384,0.2710842046434612
4758,4758,0001564590-18-003674,0.0,635110968.0,-49823513.0,51758476.0,107398546.0,61498350.0,252701363.0,0.0,5056491107.0,970702242.0,4042225612.0,878987033.0,401971245.0,5570156767.0,860,0.00461703476,5641778562.0,52.53123782513778,4149624158.0,0.7449743932853299,149269882.0,0.3713446766571574,0.6329149790403242,576.6967319266829,1.5799910463744742,6520765595.0,0.0,0.06539001148941834,0.014953981182021002
4759,4759,0001564590-18-003687,0.0,228256000.0,144667000.0,289164000.0,224578000.0,288983000.0,739723000.0,3273164000.0,3376022000.0,224547000.0,1858567000.0,669441000.0,2018419000.0,4010333000.0,1252,0.005515288549,3748945000.0,16.693286964885253,2083145000.0,0.5194443952659293,1278696000.0,0.6335136559852043,8.842786169914483,41.276583306042994,0.11308652960559724,7691550000.0,0.42555323699384384,0.3015189519461116,0.12865183220547224
4760,4760,0001564590-18-003690,0.0,1789300000.0,945200001.26,2416200000.0,2724700000.0,9730000000.0,15030800116.95,4737100000.0,32766400000.0,2400500000.0,23310200000.0,21734000000.0,30189500000.0,33999901735.530006,1218,0.003635790943,35500900001.26,13.02928762845818,26034900000.0,0.7657345660147437,15158699883.05,0.5021182822852316,16.872240540993687,21.633167160767822,0.059268951125391274,61972000001.26,0.07643935970928295,0.3092423086702263,0.20561705097126
4761,4761,0001564590-18-003743,0.0,18413000.0,7850000.0,109498000.0,486683000.0,579893000.0,2532130323.16,13266000.0,2796818000.0,663297000.0,1493185000.0,1985915000.0,5096438000.0,2365986001.545,870,0.01638558552,2823081000.0,5.800656690289163,1979868000.0,0.8368046128367357,2564307676.84,0.5031568473588809,276.78477162874054,1.3187141686016783,0.003612915530415557,4822262000.0,0.002750991132377312,0.22600794759389636,0.5090577154123936
4762,4762,0001564590-18-003744,0.0,5871000000.0,243432000074.92,8986000000.0,11043000000.0,2428000000.0,81895000000.0,157664000000.0,908116001702.74,3517000000.0,772443000000.0,8601000000.0,82682000000.0,765456009560.9501,1408,0.006194753139,1157419001777.66,104.8101966655492,783486000000.0,1.0235545742849306,787000000.0,0.00951839578142764,14.08312042241526,25.91755158317409,0.07100699063883313,1323684001777.66,0.11910999890326013,0.2201468854837247,-0.006194076523542657
4763,4763,0001564590-18-003755,0.0,49427000.0,454592000.0,396133000.0,675601000.0,559254000.0,4176677203.84,1809481000.0,3726282025.86,1913554000.0,17933437000.0,1141895000.0,13454392000.0,7883117000.0,1090,0.005543246235,4230301025.86,6.261537543402097,18609038000.0,2.3606192829562214,9277714796.16,0.6895677482981022,272.207336071378,1.3408896514981874,0.0036736702780772257,7181677025.860002,0.2519580027734979,0.32875074434984825,1.236700253183056
4764,4764,0001564590-18-003758,0.0,57336294000.0,1300318000.0,105512000.0,71959000.0,107522000.0,11258589153.08,948885000.0,33926134013.84,2627617000.0,23386301000.0,673367000.0,18115000.0,32784776000.02,1896,0.003660221457,92562746013.84,1286.3261859369918,23458260000.0,0.7155229610226921,-11240474153.08,-620.5064395848743,0.00031594298717667384,1155271.725641733,3165.1280154568044,94184998013.84,0.010074693634973264,0.13769178461983714,-0.1204648977262044
4765,4765,0001564590-18-003771,0.0,167168000.0,-2869294000.0,893274000.0,7548674000.0,20335591000.0,11775193000.0,0.0,15368421000.0,1773774000.0,24004737000.0,138945123128.31,-4358075953.35,-9858392000.0,1146,0.0040173115379999996,12666295000.0,1.6779496637422682,31553411000.0,-3.200665078037068,-16133268953.35,3.701924685582533,-26.070037048657642,-14.000747268550356,-0.038358211694658514,151611418128.31,0.0,0.1276713951923802,-0.1123038301702336
4766,4766,0001564590-18-003779,0.0,955910000.0,87695018.0,338081000.0,9632000.73,32807000.0,14781450000.0,0.0,9513579000.0,714577000.0,2518400000.0,7560561000.0,1944694000.0,7276017003.67,1406,0.0018404626869999998,10557184018.0,1096.0530749461436,2528032000.73,0.34744723651069925,-12836756000.0,-6.600913048531027,2.034390266866128,179.41493623161278,0.4915477704975693,18117745018.0,0.0,0.004320480714223254,-0.7271786299515081
4767,4767,0001564590-18-003783,0.0,13002000.0,724000.0,129881000.0,102897000.0,759796000.0,2168584160.25,73905000.0,699995018.26,21788000.0,180597000.0,1580923000.0,3249993000.0,1858438000.02,966,0.012901479140000002,713721018.26,6.936266540909842,283494000.0,0.15254423338144674,1081408839.75,0.332741898136396,249.96100599907703,1.4602277604905611,0.0040006240013440025,2368549018.26,0.031202647456412987,0.32459940727614034,0.4017344933181995
4768,4768,0001564590-18-003788,0.0,388800000.0,60900000.0,318300000.0,434600000.0,3885100000.0,430700135.03,2165900000.0,4740900000.0,705000000.0,5834900000.0,1227400000.0,9113700000.0,4278400000.04,930,0.006386453654,5190600000.0,11.943396226415095,6269500000.0,1.4653842557828591,8682999864.97,0.952741462300712,23.440586419753085,15.571282794035357,0.04266104875078179,8583900000.0,0.2523212059786344,0.7599217603911981,0.9744638060753271
