adsh,fraud,ddate,AccountsReceivable,Cash,CashFlowfromOps,CurrentLiabilities,Depreciation,Expenses,IntangibleAssets,OtherCurrentAssets,OtherIncome,OtherLiabilities,PPE,Sales,ShareholdersEquity,sum_of_first_digits,total_deviation
0001045309-18-000014,0.0,20161231.0,306700000.0,-167200000.0,276500000.0,656100000.0,1427800000.0,1969400000.0,1538200000.0,9121300000.0,63100000.0,8389400000.0,3194000000.0,2733200000.0,7067000206.080002,1464,0.005072440911
0001045450-18-000021,0.0,20161231.0,1350014000.0,-618153000.0,612435000.0,372161000.0,1482543000.0,224325157.77,15581000.0,5694174059.22,1541878000.0,6032715000.0,7995662000.0,1204652000.0,11328241000.02,1222,0.002769849179
0001046025-18-000014,0.0,20161231.0,16126698000.0,-73390000.0,53980000.0,11907000.0,46530000.0,578107044.8799999,135932000.0,5529338000.0,395025000.0,4175349000.0,166894000.0,7167000.0,10445025001.09,1642,0.008563030988
0001046311-18-000006,0.0,20161231.0,576945000.0,157907000.0,152035000.0,353385000.0,159469000.0,1503384276.22,819072000.0,2568840000.0,44346000.0,1514755000.0,526703000.0,2037483000.0,4989428000.01,1338,0.001948735471
0001046327-18-000010,0.0,20161231.0,8085000.0,34246000.0,-24328000.0,32755000.0,57351000.0,290508000.0,854571000.0,897493000.0,84351000.0,107645000.0,87972000.0,186725000.0,260954000.0020001,1024,0.007848366127
0001047122-18-000022,0.0,20161231.0,12230000000.0,7691000000.7325,5704000000.0,6966000000.0,5974000000.0,44221000000.0,17499000000.0,150928000000.0,22000000.0,30852000000.0,20795000000.0,55974000000.0,78267000003.6725,1444,0.0050629182299999995
0001047127-18-000009,0.0,20161231.0,602135000.0,550061000.0,729402000.0,1248385000.0,4970940000.0,3958058006.93,24835000.0,9249475002.91,220321000.0,8737631000.0,9991082000.0,4980901000.0,9603972000.002,1228,0.0031240991550000002
0001047340-18-000030,0.0,20161231.0,481200000.0,-100400000.0,344600000.0,840900000.0,1026100000.0,3834600135.65,1234100000.0,6043800037.11,633900000.0,2329600000.0,3697000000.0,4966200000.0,9471600000.87,1352,0.004412950084
0001047469-12-006385,1.0,20090331.0,0.0,492759000.0,0.0,0.0,0.0,18.0,0.0,97627000.0,0.0,0.0,0.0,0.0,997708000.0,1340,0.003691428952
0001047469-12-006385,1.0,20100331.0,-28489000.0,106064000.0,368073000.0,150420000.0,127275000.0,2780895079.0,567977000.0,246463000.0,-12817000.0,0.0,145981000.0,1966748000.0,1325668000.0,1340,0.003691428952
