adsh,fraud,AccountsReceivable,Cash,CashFlowfromOps,CurrentLiabilities,Depreciation,Expenses,IntangibleAssets,OtherCurrentAssets,OtherIncome,OtherLiabilities,PPE,Sales,ShareholdersEquity,sum_of_first_digits,total_deviation,TotalCurrentAssets,CurrentRatio,TotalLiabilities,DebtToEquityRatio,NetIncome,ProfitMargin,ReceivableTurnover,CollectionRatio,DSRI,TotalAssets,AQI,DEPI,TATA
0000015615-18-000007,0.0,7701281000.0,-298103000.0,735169000.0,8931481000.0,26001061000.0,1913333000.0,10016590000.0,20724600000.0,6179834000.0,8995667000.0,4971670000.0,39806911000.0,25473319002.2,1064,0.006599357090000001,28127778000.0,3.149284872240113,17927148000.0,0.703761767300591,37893578000.0,0.9519346527541411,5.168868789490995,70.61506392696484,0.19346592856702696,43116038000.0,0.23231703246944913,0.8394823498128079,0.861823366052326
0000016099-18-000020,0.0,17654000.0,-4288000.0,6999000.0,37641000.0,316952000.0,385474023.99,170568000.0,541838999.95,103600000.0,393613000.0,1031150000.0,517686000.0,1026499000.64,454,0.017572786769999998,555204999.95,14.75000664036556,431254000.0,0.4201212078444523,132211976.00999999,0.2553902867954706,29.3240058910162,12.447139771985336,0.03410175279995982,1756922999.95,0.09708336677523954,0.23510980623127922,0.07126833447656124
0000016160-18-000006,0.0,234927000.0,144635000.0,35924000.0,149736000.0,49587000.0,1563954000.0,129881000.0,4128667000.0,255223000.0,896718000.0,1202748000.0,1732122000.0,6781978000.0,442,0.018798736469999997,4508229000.0,30.10784981567559,1046454000.0,0.15429923246580865,168168000.0,0.09708784947018743,7.37302225797801,49.504801047501275,0.13562959191096238,5840858000.0,0.022236630303287597,0.0395956353531603,0.022641194153324735
0000016732-18-000026,0.0,1551000000.0,1198000000.0,1253000000.0,2495000000.0,315000000.0,21152000201.01,11415000000.0,24789000000.0,407000000.0,27948000000.0,6109000000.0,26464000000.0,43067000002.175,776,0.011868856899999999,27538000000.0,11.037274549098196,30443000000.0,0.7068753337465471,5311999798.990002,0.20072550631008168,17.06254029658285,21.391890870616688,0.05860792019347037,45062000000.0,0.25331765123607475,0.049034869240348694,0.09007589097221609
0000016868-18-000005,0.0,0.0,1211000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1170,0.01364413071,1211000000.0,inf,0.0,,0.0,,,,,1211000000.0,0.0,,0.0
0000016875-18-000029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11518000000.0,1350,0.005025225829,0.0,,0.0,0.0,0.0,,,,,0.0,,,
0000016918-18-000008,0.0,2146000000.0,-806200000.0,3293900000.0,2936100000.0,930700000.0,7605000000.0,31505400000.0,75792400000.0,7941800000.0,91910100000.0,16934000000.0,31763700000.0,128906900000.0,578,0.003839200721,77132200000.0,26.270290521440007,94846200000.0,0.7357728717392165,24158700000.0,0.7605757515654662,14.801351351351352,24.65991052679631,0.06756139870355155,125571600000.0,0.25089590321378397,0.05209715248506832,0.1661585899996496
0000017843-18-000003,0.0,590600000.0,29400000.0,-8100000.0,1092600000.0,175800000.0,2439000000.0,653300000.0,11824800000.0,94600000.0,7880100000.0,2887300000.0,2719500000.0,17547500011.08,588,0.004969939873,12444800000.0,11.390078711330771,8972700000.0,0.5113377970841645,280500000.0,0.10314396028681742,4.604639349813748,79.26788012502298,0.21717227431513145,15985400000.0,0.04086854254507233,0.05739283732166759,0.018053974251504498
0000018172-18-000007,0.0,154314000.0,25487000.0,-40474000.0,282781000.0,9387000.0,421218000.0,39164000.0,2032405000.0,24742000.0,1486042000.01,380919000.0,164942000.0,1069855000.01,480,0.01575503944,2212206000.0,7.8230362011592005,1768823000.01,1.6533296568165468,-256276000.0,-1.553734039844309,1.0688725585494512,341.4813085811982,0.9355652289895842,2632289000.0,0.014878305535600433,0.024050360486387604,-0.08198263944422515
0000018230-18-000042,0.0,125362000000.0,26128000000.0,18037000000.0,18407000000.0,53412000000.0,292232000000.0,73401000000.0,419738000000.08,21928000000.0,372347000000.0,135695000000.0,430018000000.0,350718000011.19995,1656,0.004041757916,571228000000.0801,31.033193893631775,390754000000.0,1.1141543918120014,137786000000.0,0.32041914524508275,3.4302101115170465,106.40747596612235,0.2915273314140338,780324000000.0801,0.09406477309424355,0.28244327285610793,0.15346061379630477
0000018255-18-000024,0.0,172421000.0,257712000.0,202187000.0,534501000.0,673481000.0,6904497000.0,835000.0,2621266000.0,337065000.0,324492000.0,1961354000.0,7414948000.0,3040773103.81,778,0.01025356296,3051399000.0,5.708874258420471,858993000.0,0.28249164626052065,510451000.0,0.06884080643586442,43.00490079514676,8.4874047666956,0.023253163744371506,5013588000.0,0.00016654739081067849,0.2556065180552103,0.06148570644416733
0000018349-18-000005,0.0,343237619000.0,-967679998.5,1548249000.0,17341000.0,1325929000.0,16336195468.760004,199467000.0,86483541000.0,10498129000.0,159108162000.0,2898618000.0,45413000.0,164232055002.0,2046,0.004358165809,428753480001.5,24724.841704717146,159125503000.0,0.9689064841699886,-16290782468.760004,-358.7250890441064,0.0001323077584919385,2758719.5502389185,7558.135754079229,431851565001.5,0.0004618878711237784,0.3138630011691194,-0.04130824782051685
0000018926-18-000012,0.0,11761000000.0,-2794000000.0,13639000000.0,16893000000.0,78826000000.0,81248000000.0,244061000000.0,186543000000.0,11595000000.0,139939000000.0,152787000000.0,88152000000.0,357945000056.3201,1142,0.002859492208,195510000000.0,11.573432782809448,156832000000.0,0.43814552508157284,6904000000.0,0.07831926672111807,7.495281013519259,48.6973069244033,0.13341727924494057,592358000000.0,0.4120160443515577,0.3403349552918014,-0.011369813524929181
0000019446-18-000015,0.0,232626000.0,102678000.0,98752000.0,171743000.0,15338000.0,1909705122.31,2237460000.0,2764373395.52,122239000.0,1118673000.0,367446000.0,2444637000.0,4488698002.44,570,0.01032113981,3099677395.52,18.048347795950928,1290416000.0,0.2874811357989658,534931877.69000006,0.21881853121342762,10.508872610972118,34.7325553855235,0.09515768598773561,5704583395.52,0.39222145507718453,0.04006959538538706,0.07646130268382906
0000019612-18-000037,0.0,74030239000.0,-214505000.0,658636000.0,218457000.0,304802000.0,10668151000.0,3498699000.0,87931727024.49,6739864000.0,84179643000.0,913775000.0,1915147000.0,88946904008.04,2002,0.002113245973,161747461024.49,740.4086892362799,84398100000.0,0.9488593328933762,-8753004000.0,-4.5704084333996295,0.02586979355827826,14109.11916161005,38.65512099071246,166159935024.49,0.02105621309664285,0.250129454273304,-0.05664205392601313
0000019617-18-000057,0.0,9043605000000.0,1168446000005.72,44137000000.0,1346824000000.0,16597000000.0,4552907000000.0,298729000000.0,25868207000100.0,597704000000.0,9335230000000.0,70888000000.0,862180000000.0,7722182010009.72,2124,0.006733099306,36080258000105.72,26.789140971727353,10682054000000.0,1.3832947716271913,-3690727000000.0,-4.280691966874667,0.09533587546116842,3828.5692372822377,10.489230787074625,36449875000105.72,0.008195611096036282,0.1897125221466537,-0.10246575605510766
0000020212-18-000010,0.0,275000000.0,149600003.99,733600000.0,4908800000.0,3208600000.0,4532700000.0,1715400000.0,8993800000.0,3786100000.0,16747200000.0,4939700000.0,7689100000.0,14552200000.0,1302,0.005679124324,9418400003.99,1.9186766631335561,21656000000.0,1.4881598658622064,3156400000.0,0.41050317982598744,27.960363636363635,13.054193598730672,0.03576491396912512,16073500003.99,0.10672224466197022,0.39377538873139184,0.15073257220882677
0000020286-18-000012,0.0,3740000000.0,997000000.0,3242000000.0,2388000000.0,739000000.0,169948000288.05,0.0,105389000000.0,186000000.0,43147000000.0,92895000000.0,41648000000.0,97515000010.72,1470,0.0061299811369999995,110126000000.0,46.11641541038526,45535000000.0,0.46695380192784963,-128300000288.04999,-3.0805801068010465,11.135828877005348,32.77708413369189,0.08980023050326547,203021000000.0,0.0,0.007892432236153534,-0.647923122672285
