,,,value,value,value,value,value,value,value
tag,,,CurrentAssets,Expenses,Goodwill,Income,Liabilities,LongtermAssets,ShareholdersEquity
fraud,adsh,ddate,,,,,,,
0.0,0000004977-18-000054,20170930.0,,,,10313000000.0,,1916000000.0,716000000.0
0.0,0000004977-18-000054,20171231.0,574925000015.28,100476000288.44,,98998000000.0,603215000000.0,35938000000.0,90003000197.72
0.0,0000005272-18-000022,20141231.0,8182000000.0,25476000000.0,9862000000.0,,138872000000.0,,117889000000.0
0.0,0000005272-18-000022,20150331.0,0.125,,,,,,
0.0,0000005272-18-000022,20150630.0,0.125,,,,,,
0.0,0000005272-18-000022,20150930.0,0.28,,,,,,
0.0,0000005272-18-000022,20151231.0,102704000000.28,193033000000.0,10339000000.0,617612000003.34,213111000000.0,371810000000.0,208976000000.81
0.0,0000005272-18-000022,20160331.0,-36999999.68,188000000.0,,11347999999.68,17000000.0,204000000.0,-234000000.0
0.0,0000005272-18-000022,20160630.0,35000000.32,90000000.0,,18326000003.4,14000000.0,108000000.0,2869000000.0
0.0,0000005272-18-000022,20160930.0,-1999999.68,210000000.0,,13627000000.85,259000000.0,102000000.0,711000000.0
0.0,0000005272-18-000022,20161231.0,2331909000000.3203,434927000000.0,9949000000.0,582805999992.52,3900500000000.0,1826277000000.0,917448000003.78
0.0,0000005272-18-000022,20170331.0,-12999999.68,181000000.0,,15128000002.39,60000000.0,68000000.0,1753000000.0
0.0,0000005272-18-000022,20170430.0,,,,,,,2500000000.0
0.0,0000005272-18-000022,20170630.0,-7999999.68,47000000.0,,14818000002.41,387000000.0,67000000.0,1655000000.0
0.0,0000005272-18-000022,20170930.0,-1999999.6799999997,31000000.0,,8310999996.18,902000000.0,88000000.0,-2777000000.0
0.0,0000005272-18-000022,20171231.0,2658597000000.3203,427019000125.80005,11558000000.0,620310999972.26,3921847000000.0,2417172000000.0,794493000003.78
0.0,0000005513-18-000016,20071231.0,,,,,800000000.0,,
0.0,0000005513-18-000016,20141231.0,2189200000.0,,,,46321100000.0,,166400000.0
0.0,0000005513-18-000016,20150630.0,2000000.0,,,,,,
0.0,0000005513-18-000016,20151231.0,2856400000.0,13736800000.0,,50431100000.0,143211800000.0,9609500000.0,5744300000.0
0.0,0000005513-18-000016,20160331.0,,,,2936000000.0,,890100000.0,
0.0,0000005513-18-000016,20160630.0,,,,2998100000.0,,968800000.0,
0.0,0000005513-18-000016,20160731.0,600000.0,,,2500000.0,,,
0.0,0000005513-18-000016,20160930.0,5400000.0,,,2999300000.0,,954500000.0,
0.0,0000005513-18-000016,20161231.0,84022600000.0,15295400000.0,335100000.0,55938700000.0,475764500000.0,77041900000.0,23795300000.1
0.0,0000005513-18-000016,20170331.0,,,,3036400000.0,,943700000.0,
0.0,0000005513-18-000016,20170630.0,,,,3067100000.0,,990200000.0,
0.0,0000005513-18-000016,20170930.0,,,,3071400000.0,,985600000.0,
0.0,0000005513-18-000016,20171231.0,82489600000.0,15715500000.0,338600000.0,56438500000.0,489718400000.0,179540600000.0,26826900129.06
0.0,0000006201-18-000009,20141231.0,994000000.0,,,,,,2021000000.0
0.0,0000006201-18-000009,20150331.0,,,,,,,0.1
0.0,0000006201-18-000009,20150630.0,,,,,,,0.1
0.0,0000006201-18-000009,20150930.0,,,,,,,0.1
0.0,0000006201-18-000009,20151231.0,-4525000000.0,60811000000.0,,89400000000.0,4493000000.0,29381000000.0,20740000042.59
0.0,0000006201-18-000009,20160331.0,,8100000000.0,,11470000000.0,,,0.1
0.0,0000006201-18-000009,20160630.0,,8612000000.0,,13064000000.0,,,0.1
0.0,0000006201-18-000009,20160930.0,,9163000000.0,,12762000000.0,,,0.1
0.0,0000006201-18-000009,20161231.0,118865000000.0,69409000000.0,4091000000.0,106971000000.0,138605000000.0,225595000000.0,23839000037.370003
0.0,0000006201-18-000009,20170331.0,,9023000000.0,,10459000000.0,,,0.1
0.0,0000006201-18-000009,20170630.0,,9570000000.0,,13443000000.0,,,0.1
0.0,0000006201-18-000009,20170930.0,,9646000000.0,,12734000000.0,,,0.1
0.0,0000006201-18-000009,20171231.0,104171000000.0,76086000000.0,4091000000.0,143606000000.0,140228000000.0,309590000000.0,38909000086.41
0.0,0000006281-18-000018,20161031.0,921132000.0,,,,,,
0.0,0000006281-18-000018,20170131.0,13238002000.42,1051966000.0,,4450873000.0,2072306000.0,454848000.0,410892000.0
0.0,0000006281-18-000018,20171031.0,56402263000.0,,12217455000.0,1178972000.0,42628357000.0,9871626000.0,20328453001.166702
0.0,0000006281-18-000018,20180131.0,58174460000.45,2371219000.0,12229180000.0,4609208000.0,43129055000.0,10803621000.0,21261259001.166702
0.0,0000006845-18-000002,20160229.0,60470000.0,,73996000.0,16340000.0,,,
0.0,0000006845-18-000002,20161130.0,75941000.0,814708000.0,,3277041006.8,8621000.0,228769000.0,149761000.0
0.0,0000006845-18-000002,20170228.0,2007310044.79,184965009.9,128884000.0,21933000.0,1281702000.0,246748000.0,791918000.3299999
0.0,0000006845-18-000002,20171130.0,2928963205.7999997,1222723757.4399998,199846000.0,3840583005.83,2255700000.0,732891000.0,1038544000.3299999
0.0,0000006951-18-000008,20111031.0,1500000000.0,,,,,,
0.0,0000006951-18-000008,20160630.0,,,,,,,2000000000.0
0.0,0000006951-18-000008,20161031.0,3406000000.0,,,153000000.0,,,7217000000.0
0.0,0000006951-18-000008,20170131.0,4251000000.0,1553000000.0,,9382000000.0,-27000000.0,1910000000.0,7937000031.8
0.0,0000006951-18-000008,20170930.0,,,,,,,3000000000.0
0.0,0000006951-18-000008,20171031.0,73695000000.0,3334000000.0,3368000000.0,3421000000.0,49753000000.0,10105000000.0,50522000000.0
0.0,0000006951-18-000008,20171231.0,,,,,,,0.1
0.0,0000006951-18-000008,20180131.0,84424000000.0,3541000000.0,3368000000.0,15329000000.0,57159000000.0,12855000000.0,54579000053.41
0.0,0000006955-18-000003,20160831.0,179604000.0,,,5592000.0,,,
0.0,0000006955-18-000003,20161130.0,205782000.0,269382000.0,,354055000.15999997,10915000.0,12993000.0,-47387000.0
0.0,0000006955-18-000003,20170831.0,3705188000.0,3119000.0,530081000.0,6616000.0,4598915000.0,821350000.0,2239236000.0
0.0,0000006955-18-000003,20171130.0,3616292000.0,285710000.0,532827000.0,426372000.18,4886810000.0,877381000.0,2901773000.0
0.0,0000007039-18-000003,20080331.0,,,,,10000000.0,,
0.0,0000007039-18-000003,20141231.0,8613000.0,,,,,,121388000.0
0.0,0000007039-18-000003,20151231.0,41280000.0,17047000.0,,833670000.0,27457000.0,88542000.0,173192000.0
0.0,0000007039-18-000003,20160331.0,,,,71195000.0,,,
0.0,0000007039-18-000003,20160630.0,,,,70680000.0,,,
0.0,0000007039-18-000003,20160930.0,,,,68846000.0,,3200000.0,
0.0,0000007039-18-000003,20161231.0,632592000.0,14588000.0,21798000.0,807133000.0,723603000.0,607048000.0,525624000.1
0.0,0000007039-18-000003,20170331.0,,,,67647000.0,,,
