fraud,adsh,ddate,CurrentAssets,Expenses,Goodwill,Income,Liabilities,LongtermAssets,ShareholdersEquity,
0,0000009092-18-000002,20151231,71245000.39,25467000,,939656001.8,-184000,167518000,247662000,
0,0000009092-18-000002,20160331,0.1,,,147571000,,,,
0,0000009092-18-000002,20160630,0.1,,,152616000,,,,
0,0000009092-18-000002,20160930,0.115,,,143712000,,,,
0,0000009092-18-000002,20161231,1005143001,23015000,49314000,1154961002,510660000,782326000,563867001,
0,0000009092-18-000002,20170331,0.115,,,149005000,,,,
0,0000009092-18-000002,20170430,800000,,,,,,,
0,0000009092-18-000002,20170630,0.115,,,155844000,,,,
0,0000009092-18-000002,20170930,70000000.13,,,145022000,,,,
0,0000009092-18-000002,20171231,1198942001,41793000,67424000,1193822002,723050000,852575000,638502001,
0,0000009346-18-000017,20141231,64632000,,,,1019372000,,399496000,
0,0000009346-18-000017,20151231,100496001,1229326000,,938401000,1470086000,88389000,442858000,
0,0000009346-18-000017,20160331,,,,14112000,,12452000,,
0,0000009346-18-000017,20160630,,,,5969000,,3829000,,
0,0000009346-18-000017,20160930,,,,4001000,,11245000,,
0,0000009346-18-000017,20161231,2071921001,2146989000,,1070244000,5344393000,1931061000,1290895000,
0,0000009346-18-000017,20170331,,,,6756000,,9986000,,
0,0000009346-18-000017,20170630,,,,-12343000,,8012000,,
0,0000009346-18-000017,20170930,,,,7434000,,9971000,17500000,
0,0000009346-18-000017,20171231,2511521001,2626934000,,1208854000,6417260000,2294566000,1512729022,
0,0000009984-18-000024,20141231,54599000,,,,,,1111793000,
0,0000009984-18-000024,20151231,3793562009,1133737000,587992000,2617760000,328040000,580322000,1207530000,
0,0000009984-18-000024,20161231,8295906007,1162895029,678880000,2787549000,4896765000,2229434000,2934708001,
0,0000009984-18-000024,20171231,9238742010,1471191205,790870000,3426491000,5638480000,2491282000,3687621001,
0,0000010048-18-000002,20160930,15550000,,,,,,19476000,
0,0000010048-18-000002,20161231,15296000,4537000,,18778000,0,15322000,29961000,
0,0000010048-18-000002,20170930,85063000,,,,60608000,161708000,60423000.5,
0,0000010048-18-000002,20171231,72884000,3317000,,1411000,67053000,164588000,50257000.5,
0,0000010795-18-000008,20160930,1541000000,,,,,,,
0,0000010795-18-000008,20161231,-215000000,2536000000,,6557000000,3943000000,1764000000,287000000.7,
0,0000010795-18-000008,20170630,,,,,,,4800000000,
0,0000010795-18-000008,20170930,119814000000,,7563000000,,65862000000,18800000000,42750000000,
0,0000010795-18-000008,20171231,112071000000,4526000000,37834000000,5065000000,99225000000,21757000000,63521000001,
0,0000011199-18-000012,20141231,47100000,,,,,,1130400000,
0,0000011199-18-000012,20151231,5062000001,3546500000,949500000,11010100005,109400000,970700000,610200000,
0,0000011199-18-000012,20160331,4200000,,,1232900001,,,,
0,0000011199-18-000012,20160630,,,,1289200000,,,,
0,0000011199-18-000012,20160930,,,,1320600000,,,,
0,0000011199-18-000012,20161231,10950200001,3502500000,1108100000,12067100005,10140000000,10476900000,5913900000,
0,0000011199-18-000012,20170331,900000,,,1244400000,,,,
0,0000011199-18-000012,20170630,,,,1226000000,,,,
0,0000011199-18-000012,20170930,,,,1298400000,,,,
0,0000011199-18-000012,20171231,11551400001,3671500000,1047900000,10786300002,12887500000,11005300000,5519200000,
0,0000011544-18-000012,20111231,90693000,,,,,,,
0,0000011544-18-000012,20141231,674441000,,,,8970641000,,,
0,0000011544-18-000012,20151231,2085680000,34116606000,,28157627000,44288272000,8947470000,1993162000,
0,0000011544-18-000012,20160331,,,,1926722000,,,,
0,0000011544-18-000012,20160630,,,,1964881000,,,,
0,0000011544-18-000012,20160930,,,,2240377000,,,,
0,0000011544-18-000012,20161231,74770177000,52016146000,144513000,37496678000,134521261000,38945902000,42280470000,
0,0000011544-18-000012,20170331,,,,1993865000,,,,
0,0000011544-18-000012,20170630,,,,1957053000,,,,
0,0000011544-18-000012,20170930,,,,2193396000,,,,
0,0000011544-18-000012,20171231,90255312630,62990866000,178945000,41177994000,142114397000,46608836000,42176570000,
0,0000012400-18-000006,20141231,1542000,,,,,,,
0,0000012400-18-000006,20151231,41324000,309786000,,397168000,20240000,273669000,483352000,
0,0000012400-18-000006,20160331,,,,89422000,,,11186000,
0,0000012400-18-000006,20160630,,,,80955000,,,9806000,
0,0000012400-18-000006,20160930,,,,89138000,,,12010000,
0,0000012400-18-000006,20161231,1611480000,347504000,,486585000,3061769000,6685901000,1218950001,
0,0000012400-18-000006,20170331,,,,97170000,,,12570000,
0,0000012400-18-000006,20170630,2700000,,,83765000,,,9287000,
0,0000012400-18-000006,20170930,,,,97636000,,,13826000,
0,0000012400-18-000006,20171231,1526546000,377769000,,496471000,3398232000,6991281000,1263309001,
0,0000012927-18-000007,20110630,,271000000,,,,,,
0,0000012927-18-000007,20111231,,114000000,,,,,,
0,0000012927-18-000007,20141231,13066000000,,,,,,-5113000000,
0,0000012927-18-000007,20151231,19078000000,83237000000,5126000000,329185000015,3282000000,13281000000,24802000005,
0,0000012927-18-000007,20160331,,,,44736000000,,,,
0,0000012927-18-000007,20160630,1235000000,,,46427000000,,,2.18,
